"komentar","label","preprocessedKomentar"
"Terima kasih banyak buat Pak Polisi yang hari ini telah membantu saya","positif","terima kasih banyak buat pak polisi hari bantu"
"terima kasih bapak kapolri atas komitmennya Polisi Jaga Persatuan dan kesatuan bangsa","positif","terima kasih bapak kapolri atas komitmen polisi jaga satu satu bangsa"
"bangga pak polisi melayani dengan hati melakukan tugas penuh amanah","positif","bangga pak polisi layan hati laku tugas penuh amanah"
"Luar biasa cepat tanggap bapak polisi","positif","luar biasa cepat tanggap bapak polisi"
"Terima kasih pak polisi yang bergerak dengan cepat","positif","terima kasih pak polisi gerak cepat"
"Dukungan Ini Merupakan Wujud Terima Kasih Sebab Kebaikan Polisi","positif","dukung rupa wujud terima kasih baik polisi"
"Terima kasih sarannya pak polisi","positif","terima kasih saran pak polisi"
"Wah terima kasih pak polisi saya jadi terharu","positif","wah terima kasih pak polisi jadi haru"
"Mantap Terima kasih pak polisi sudah menangkap Pelaku","positif","mantap terima kasih pak polisi tangkap laku"
"Hadir disaat dibutuhkan terima kasih ibu Polwan","positif","hadir saat butuh terima kasih ibu polw"
"Hadir ditengah masyarakat terima kasih Polri","positif","hadir tengah masyarakat terima kasih polri"
"Memanusiakan manusia terima kasih Polri","positif","manusia manusia terima kasih polri"
"Jiwa raga untuk kemanusiaan terima kasih Polri telah peduli","positif","jiwa raga manusia terima kasih polri peduli"
"Terima kasih Polri telah berbagi buku sekaligus ilmu","positif","terima kasih polri bagi buku sekaligus ilmu"
"Terima kasih telah hadir ditengah masyarakat","positif","terima kasih hadir tengah masyarakat"
"Berbagi buku sekaligus ilmu terima kasih Polri","positif","bagi buku sekaligus ilmu terima kasih polri"
"Terima kasih Polisi yang selalu hadir ditengah masyarakat","positif","terima kasih polisi selalu hadir tengah masyarakat"
"jarang terlihat dilayar kaca tapi nyata dilapangan Terima kasih Polisi Baik","positif","jarang lihat layar kaca nyata lapang terima kasih polisi baik"
"terima kasih pak kapolres kami masyarakat banyak-banyak terima kasih atas bantunnya","positif","terima kasih pak kapolres masyarakat banyak terima kasih atas bantun"
"Terima kasih bapak polisi sudah mewakili kami","positif","terima kasih bapak polisi wakil"
"Mantap langsung ketahuan Terima kasih polisi","positif","mantap langsung tahu terima kasih polisi"
"Ini Polisinya wajib dikasih penghargaan karena hal hal begini saja menjadi perhatiannya","positif","polisi wajib kasih harga begini jadi perhati"
"jarang jarang Pak Polisi seperti ini Terima kasih Polri semoga semakin sejahtera","positif","jarang pak polisi terima kasih polri moga makin sejahtera"
"Terima kasih pak polisi Sudah membantu Mengamankan","positif","terima kasih pak polisi bantu aman"
"TERIMA kasih polisi baik Salut","positif","terima kasih polisi baik salut"
"Alhamdulillah terima kasih pak Polisi hukum seberat beratmya mahluk kayak dia","negatif","alhamdulillah terima kasih pak polisi hukum berat beratmya mahluk kayak"
"sekali lagi polisi goblok terima kasih.","positif","kali polisi goblok terima kasih"
"Terima kasih pak polisi hadapi dengan senyuman setiap melaksanakan tugas","positif","terima kasih pak polisi hadap senyum laksana tugas"
"Terima kasih pak polisi sudah mengungkap kebenaran","positif","terima kasih pak polisi ungkap benar"
"Terima kasih polisi dan Relawan telah bekerja semaksimal mungkin","positif","terima kasih polisi relawan kerja maksimal mungkin"
"TERIMA KASIH BAPAK POLISI SUDAH MENEGAKKAN KEADILAN","positif","terima kasih bapak polisi tegak adil"
"Terima kasih atas bantuannya Pak polisi","positif","terima kasih atas bantu pak polisi"
"Terima kasih Pak Polisi dan Bu Polisi yang standby setiap malam","positif","terima kasih pak polisi bu polisi standby malam"
"terima kasih pak polisi sudah turut membantu evakuasi","positif","terima kasih pak polisi turut bantu evakuasi"
"Terima kasih atas dedikasi dan kontribusimu pak polisi","positif","terima kasih atas dedikasi kontribusi pak polisi"
"terima kasih pak polisi yang selalu Siaga membantu masyarakat mari kita Bersama Saling Waspada","positif","terima kasih pak polisi selalu siaga bantu masyarakat sama saling waspada"
"Terima kasih kepada para polisi yang sudah membantu warga","positif","terima kasih polisi bantu warga"
"Terima kasih kepada polisi yang selalu berjuang untuk menjaga keamanan kita semua","positif","terima kasih polisi selalu juang jaga aman semua"
"Terima kasih kepada polisi yang bekerja keras dalam menjaga perbatasan laut kita","positif","terima kasih polisi kerja keras jaga batas laut"
"Terima kasih Bapak polisi atas himbauan yang sangat bagus ini.","positif","terima kasih bapak polisi atas himbau sangat bagus"
"Terima kasih kepada polisi yang telah bekerja keras untuk menyelesaikan kasus ini","positif","terima kasih polisi kerja keras selesai kasus"
"Terima kasih Bapak polisi sudah bertindak tegas","positif","terima kasih bapak polisi tindak tegas"
"Semakin profesional, semakin dihormati!","netral","makin profesional makin hormat"
"Jangan hanya penindakan, polisi juga harus mendidik masyarakat!","netral","jangan tindak polisi didik masyarakat"
"Makin baik pelayanan, makin tinggi kepercayaan masyarakat.","netral","makin baik layan makin tinggi percaya masyarakat"
"Penting buat polisi untuk menjaga netralitas dalam bertugas!","netral","penting buat polisi jaga netralitas tugas"
"Penegakan hukum yang adil akan bikin masyarakat lebih percaya sama polisi.","netral","tegak hukum adil bikin masyarakat lebih percaya sama polisi"
"Semoga polisi selalu mengutamakan keadilan dalam setiap tindakan.","netral","moga polisi selalu utama adil tindak"
"Polisi adalah pelindung rakyat, bukan sebaliknya.","netral","polisi lindung rakyat bukan balik"
"Kinerja polisi menentukan rasa aman masyarakat.","netral","kinerja polisi tentu rasa aman masyarakat"
"Polisi memiliki tugas utama menegakkan hukum dan menjaga ketertiban","netral","polisi milik tugas utama tegak hukum jaga tertib"
"akhirnya motor saya balik terima kasih pak polisi","positif","akhir motor balik terima kasih pak polisi"
"Salut Polisi Tolong Sopir Truk Kontainer yang Pingsan","positif","salut polisi sopir truk kontainer pingsan"
"akhirnya kena juga Terima Kasih Pak Polisi.","positif","akhir kena terima kasih pak polisi"
"Terima kasih pak polisi selalu hadir melayani","positif","terima kasih pak polisi selalu hadir layan"
"terima kasih polisi yang Selalu Hadir Melayani dan dengan Pengabdian Sepenuh Hati","positif","terima kasih polisi selalu hadir layan abdi penuh hati"
"Terima kasih kepada polisi yang bekerja keras untuk mengungkap kasus ini","positif","terima kasih polisi kerja keras ungkap kasus"
"terima kasih polisi selalu Bersama Cegah Kejahatan semoga untuk kedepannya kejahatan yang lain bisa terungkap","positif","terima kasih polisi selalu sama cegah jahat moga depan jahat ungkap"
"terima kasih polisi selalu Cegah Kejahatan","positif","terima kasih polisi selalu cegah jahat"
"Aku benar-benar kecewa dengan kinerja kepolisian","negatif","aku benar kecewa kinerja polisi"
"Kinerja kepolisian bikin aku sedih banget","negatif","kinerja polisi bikin aku sedih banget"
"Aku merasa sangat sedih melihat cara kerja kepolisian.","negatif","aku rasa sangat sedih lihat cara kerja polisi"
"Kepolisian bekerja dengan cara yang bikin aku benar-benar sedih.","negatif","polisi kerja cara bikin aku benar sedih"
"Aku nggak habis pikir dengan kinerja kepolisian, rasanya sedih banget.","negatif","aku habis pikir kinerja polisi rasa sedih banget"
"Saya sangat kecewa dengan kinerja kepolisian dan berharap ada perbaikan.","negatif","sangat kecewa kinerja polisi harap baik"
"Kinerja kepolisian saat ini kurang memuaskan dan perlu evaluasi.","negatif","kinerja polisi kurang puas perlu evaluasi"
"Penegakan hukum seharusnya dilakukan dengan lebih adil dan transparan.","positif","tegak hukum laku lebih adil transparan"
"Saya berharap kepolisian bisa lebih profesional dalam menjalankan tugasnya.","positif","harap polisi lebih profesional jalan tugas"
"Kepercayaan masyarakat pada kepolisian harus dijaga dengan tindakan nyata.","positif","percaya masyarakat polisi jaga tindak nyata"
"Saya sangat geram dengan kinerja kepolisian yang semakin mengecewakan.","negatif","sangat geram kinerja polisi makin kecewa"
"Bagaimana mungkin kepolisian terus bekerja dengan cara yang semrawut seperti ini","negatif","bagaimana mungkin polisi terus kerja cara semrawut"
"Kinerja kepolisian benar-benar membuat saya frustrasi! Seharusnya mereka lebih bertanggung jawab.","negatif","kinerja polisi benar buat frustrasi lebih tanggung jawab"
"Saya muak melihat bagaimana kepolisian menegakkan hukum dengan standar ganda.","negatif","muak lihat bagaimana polisi tegak hukum standar ganda"
"Sebagai aparat penegak hukum, kepolisian seharusnya malu dengan cara mereka bekerja saat ini.","negatif","aparat tegak hukum polisi malu cara kerja"
"Saya benar-benar kecewa dengan bagaimana kepolisian menangani masalah ini.","negatif","benar kecewa bagaimana polisi tangan masalah"
"Keputusan yang diambil kepolisian sungguh mengecewakan dan tidak mencerminkan keadilan.","negatif","putus ambil polisi sungguh kecewa cermin adil"
"Sulit dipercaya bahwa kepolisian masih bekerja dengan cara yang begitu tidak profesional.","negatif","sulit percaya polisi kerja cara profesional"
"Sebagai masyarakat, kami merasa dikhianati oleh kepolisian yang seharusnya melindungi, bukan merugikan.","negatif","masyarakat rasa khianat polisi lindung bukan rugi"
"Harus sampai kapan kepolisian terus mengabaikan keadilan dan kepentingan masyarakat","negatif","kapan polisi terus abai adil penting masyarakat"
"Saya sedih melihat kepolisian yang seharusnya melindungi rakyat, tapi malah mengecewakan.","negatif","sedih lihat polisi lindung rakyat malah kecewa"
"Miris rasanya melihat hukum tidak ditegakkan dengan adil oleh kepolisian.","negatif","miris rasa lihat hukum tegak adil polisi"
"Seharusnya kepolisian menjadi pelindung, bukan sumber ketidakadilan.","negatif","polisi jadi lindung bukan sumber ketidakadilan"
"Saya kehilangan harapan melihat banyak kasus yang tidak ditangani dengan serius.","negatif","hilang harap lihat banyak kasus tangan serius"
"Kepolisian yang seharusnya menjadi harapan rakyat kini justru sering mengecewakan.","negatif","polisi jadi harap rakyat kini justru sering kecewa"
"Sungguh menyedihkan ketika rakyat takut melapor karena tidak percaya pada kepolisian.","negatif","sungguh sedih rakyat takut lapor percaya polisi"
"Setiap kali ada kasus yang dibiarkan begitu saja, saya semakin kecewa.","negatif","kali kasus biar makin kecewa"
"Rasanya menyakitkan melihat oknum kepolisian yang menyalahgunakan wewenang.","negatif","rasa sakit lihat oknum polisi salah guna wenang"
"Kenapa keadilan terasa begitu jauh ketika berurusan dengan kepolisian","negatif","adil rasa jauh urus polisi"
"Saya hanya bisa berharap suatu hari kepolisian benar-benar berpihak pada rakyat.","positif","harap suatu hari polisi benar pihak rakyat"
"Saya takut melapor ke polisi karena khawatir tidak mendapatkan keadilan.","negatif","takut lapor polisi khawatir dapat adil"
"Sering kali saya merasa lebih aman diam daripada berurusan dengan kepolisian.","negatif","sering kali rasa lebih aman diam urus polisi"
"Bagaimana bisa kita merasa terlindungi jika polisi sendiri menimbulkan ketakutan?","negatif","bagaimana rasa lindung polisi sendiri timbul takut"
"Saya khawatir jika berbicara terlalu keras, justru saya yang akan disalahkan.","negatif","khawatir bicara lalu keras justru salah"
"Melihat kasus-kasus yang tidak ditangani dengan benar, saya jadi takut akan masa depan hukum di negara ini.","negatif","lihat kasus tangan benar jadi takut masa depan hukum negara"
"Kadang saya takut bahwa hukum hanya berpihak pada mereka yang punya kuasa.","negatif","kadang takut hukum pihak punya kuasa"
"Banyak yang takut melawan ketidakadilan karena polisi justru membela yang salah.","negatif","banyak takut lawan tidakadil polisi justru bela salah"
"Rasanya menegangkan setiap kali melihat ada razia, meskipun tidak melakukan kesalahan.","negatif","rasa tegang kali lihat razia meski laku salah"
"Keamanan seharusnya datang dari kepolisian, bukan justru rasa cemas.","negatif","aman datang polisi bukan justru rasa cemas"
"Saya takut jika suatu hari saya membutuhkan bantuan polisi, tapi mereka tidak peduli.","negatif","takut suatu hari butuh bantu polisi peduli"
"Saya masih percaya bahwa kepolisian bisa berubah menjadi lebih baik.","positif","percaya polisi ubah jadi lebih baik"
"Meskipun banyak kritik, saya yakin masih ada polisi yang benar-benar jujur.","positif","meski banyak kritik yakin polisi benar jujur"
"Kepercayaan masyarakat harus dijaga, dan saya berharap kepolisian terus berbenah.","positif","percaya masyarakat jaga harap polisi terus benah"
"Saya percaya bahwa masih ada polisi yang bekerja dengan hati nurani.","positif","percaya polisi kerja hati nurani"
"Banyak polisi baik di luar sana, mereka hanya perlu didukung dan diperlihatkan.","positif","banyak polisi baik luar sana perlu dukung lihat"
"Kejujuran dan integritas masih bisa ditegakkan jika ada niat dari dalam kepolisian sendiri.","positif","jujur integritas tegak niat polisi sendiri"
"Saya yakin kepolisian bisa membuktikan bahwa mereka adalah penjaga keadilan.","positif","yakin polisi bukti jaga adil"
"Sebagian polisi masih bekerja dengan baik, dan mereka yang jujur harus didukung.","positif","bagi polisi kerja baik jujur dukung"
"Saya percaya hukum bisa berjalan dengan adil jika kepolisian benar-benar berkomitmen.","positif","percaya hukum jalan adil polisi benar komitmen"
"Selama masih ada polisi yang peduli dengan keadilan, masih ada harapan untuk negeri ini.","positif","lama polisi peduli adil harap negeri"
"saya semakin kecewa dengan kinerja kalian pak","negatif","makin kecewa kinerja kalian pak"
"Saya takut melapor ke polisi, takut malah dipersulit.","negatif","takut lapor polisi takut malah sulit"
"Berurusan dengan polisi sering kali bikin cemas.","negatif","urus polisi sering kali bikin cemas"
"Takut kalau keadilan hanya milik yang berkuasa.","negatif","takut kalau adil milik kuasa"
"Melapor ke polisi, tapi takut malah jadi tersangka.","negatif","lapor polisi takut malah jadi sangka"
"Melihat razia polisi saja sudah bikin deg-degan.","negatif","lihat razia polisi bikin deg degan"
"Saya takut polisi lebih membela yang punya uang.","negatif","takut polisi lebih bela punya uang"
"Kadang lebih aman diam daripada berurusan dengan polisi.","negatif","kadang lebih aman diam urus polisi"
"Saya takut hukum tidak akan melindungi rakyat kecil.","negatif","takut hukum lindung rakyat kecil"
"Sering kali rakyat takut bersuara karena polisi.","negatif","sering kali rakyat takut suara polisi"
"Saya takut polisi lebih berpihak pada kepentingan sendiri.","negatif","takut polisi lebih pihak penting sendiri"
